"Indicator Code","Indicator Name","Aggregation Method","Dataset","General Comments","License Type","License URL","Long Definition","Periodicity","Reference Period","Short Definition","Source","Topic","Unit of Measure","Related Indicators","Development Relevance","Limitations and Exceptions","Notes from Original Source","Statistical Concept and Methodology","Other Web Links","Base Period","Other Notes","Previous Indicator Name","Related Source Links"
"SG.POP.MIGR.FE.ZS","Female migrants (% of international migrant stock)","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Percentage of female migrants out of total international migrant stock. International migrant stock is the number of people born in a country other than that in which they live. It also includes refugees.","Annual","","Percentage of female migrants out of total international migrant stock","United Nations Population Division, Trends in International Migrant Stock: 2019 Revision.","Social Protection & Labor: Migration","","","","In estimating the international migrant stock, international migrants have been equated with the foreign-born population whenever this information is available, which is the case in most countries or areas. In most countries lacking data on place of birth, information on the country of citizenship of those enumerated was available, and was used as the basis for the identification of international migrants, thus effectively equating, in these cases, international migrants with foreign citizens. Equating international migrants with foreign citizens when estimating the migrant stock has important shortcomings. In countries where citizenship is conferred on the basis of jus sanguinis, people who were born in the country of residence may be included in the number of international migrants even though they may have never lived abroad. Conversely, persons who were born abroad and who naturalized in their country of residence are excluded from the stock of international migrants when using citizenship as the criterion to define international migrants. Using country of citizenship as the basis for the identification of international migrants has also an impact on the age distribution of international migrants. In countries where citizenship is conferred mainly on the basis of jus sanguinis, children born to international migrants tend to be considered foreign citizens and are thus included in the count of international migrants. Conversely, in countries where citizenship is conferred mainly on the basis of jus soli, children born to international migrants are granted citizenship upon birth and are thus excluded from the migrant stock.","","Most of the data used to estimate the international migrant stock by country or area were obtained from population censuses. Additionally, population registers and nationally representative surveys provided information on the number and composition of international migrants.  In estimating the international migrant stock, international migrants have been equated with the foreign-born population whenever this information is available, which is the case in most countries or areas. In most countries lacking data on place of birth, information on the country of citizenship of those enumerated was available, and was used as the basis for the identification of international migrants, thus effectively equating, in these cases, international migrants with foreign citizens. Among the 232 countries or areas included in the 2015 revision of International Migrant Stock, 92 per cent had at least one data source on the total migrant stock since the 2000 census round. For countries or areas with at least two data points, interpolation or extrapolation was used to estimate the migrant stock for the six reference years from 1990 to 2015. To estimate the total migrant stock for countries or areas with only one data source, the growth rates of the total migrant stock in the relevant major area or region were used, where appropriate, to estimate changes in migrant stock levels.","","","","",""
"SP.DYN.CBRT.IN","Birth rate, crude (per 1,000 people)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Crude birth rate indicates the number of live births occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.","Annual","","Crude birth rate indicates the number of live births per 1,000 midyear population.","(1) United Nations Population Division. World Population Prospects: 2022 Revision; (2) Statistical databases and publications from national statistical offices; (3) Eurostat: Demographic Statistics; (4) United Nations Statistics Division. Population and Vital Statistics Reprot (various years).","Health: Population: Dynamics","","","","Vital registers are the preferred source for these data, but in many developing countries systems for registering births and deaths are absent or incomplete because of deficiencies in the coverage of events or geographic areas. Many developing countries carry out special household surveys that ask respondents about recent births and deaths. Estimates derived in this way are subject to sampling errors and recall errors.","","The crude birth rate is calculated as the number of births in a given period divided by the average population in that period. For human populations the period is usually one year and, if the population changes in size over the year, the divisor is taken as the population at the mid-year. The rate is usually expressed in terms of 1,000 people: for example, a crude birth rate of 9.5 (per 1000 people) in a population of 1 million would imply 9500 births per year in the entire population. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.

Vital rates are based on data from birth and death registration systems, censuses, and sample surveys by national statistical offices and other organizations, or on demographic analysis. Data for the most recent year for some high-income countries are provisional estimates based on vital registers. The estimates for many other countries are from the United Nations Population Division.","","","","",""
"SP.DYN.LE00.FE.IN","Life expectancy at birth, female (years)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.","Annual","","","(1) United Nations Population Division. World Population Prospects: 2022 Revision; (2) Statistical databases and publications from national statistical offices; (3) Eurostat: Demographic Statistics.","Health: Mortality","","","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. And they are among the indicators most frequently used to compare socioeconomic development across countries.","","","Life expectancy at birth used here is the average number of years a newborn is expected to live if mortality patterns at the time of its birth remain constant in the future. It reflects the overall mortality level of a population, and summarizes the mortality pattern that prevails across all age groups in a given year. It is calculated in a period life table which provides a snapshot of a population's mortality pattern at a given time. It therefore does not reflect the mortality pattern that a person actually experiences during his/her life, which can be calculated in a cohort life table.

High mortality in young age groups significantly lowers the life expectancy at birth. But if a person survives his/her childhood of high mortality, he/she may live much longer. For example, in a population with a life expectancy at birth of 50, there may be few people dying at age 50. The life expectancy at birth may be low due to the high childhood mortality so that once a person survives his/her childhood, he/she may live much longer than 50 years.","","","","",""
"SP.DYN.LE00.IN","Life expectancy at birth, total (years)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.","Annual","","","(1) United Nations Population Division. World Population Prospects: 2022 Revision; or derived from male and female life expectancy at birth from sources such as: (2) Statistical databases and publications from national statistical offices; (3) Eurostat: Demographic Statistics.","Health: Mortality","","","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. And they are among the indicators most frequently used to compare socioeconomic development across countries.","","","Life expectancy at birth used here is the average number of years a newborn is expected to live if mortality patterns at the time of its birth remain constant in the future. It reflects the overall mortality level of a population, and summarizes the mortality pattern that prevails across all age groups in a given year. It is calculated in a period life table which provides a snapshot of a population's mortality pattern at a given time. It therefore does not reflect the mortality pattern that a person actually experiences during his/her life, which can be calculated in a cohort life table.

High mortality in young age groups significantly lowers the life expectancy at birth. But if a person survives his/her childhood of high mortality, he/she may live much longer. For example, in a population with a life expectancy at birth of 50, there may be few people dying at age 50. The life expectancy at birth may be low due to the high childhood mortality so that once a person survives his/her childhood, he/she may live much longer than 50 years.","","","","",""
"SP.DYN.LE00.MA.IN","Life expectancy at birth, male (years)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.","Annual","","","(1) United Nations Population Division. World Population Prospects: 2022 Revision; (2) Statistical databases and publications from national statistical offices; (3) Eurostat: Demographic Statistics.","Health: Mortality","","","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. And they are among the indicators most frequently used to compare socioeconomic development across countries.","","","Life expectancy at birth used here is the average number of years a newborn is expected to live if mortality patterns at the time of its birth remain constant in the future. It reflects the overall mortality level of a population, and summarizes the mortality pattern that prevails across all age groups in a given year. It is calculated in a period life table which provides a snapshot of a population's mortality pattern at a given time. It therefore does not reflect the mortality pattern that a person actually experiences during his/her life, which can be calculated in a cohort life table.

High mortality in young age groups significantly lowers the life expectancy at birth. But if a person survives his/her childhood of high mortality, he/she may live much longer. For example, in a population with a life expectancy at birth of 50, there may be few people dying at age 50. The life expectancy at birth may be low due to the high childhood mortality so that once a person survives his/her childhood, he/she may live much longer than 50 years.","","","","",""
"SP.DYN.LE60.FE.IN","Life expectancy at age 60, female","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Life expectancy at age 60, female is the average number of years that a female at age 60 would live if prevailing patterns of mortality at the time of age 60 were to stay the same throughout her life.","Annual","","","2022 World Population Prospects, United Nations Population Division: Retrieved August 31, 2023.","Health: Mortality","","","","","","","","","","",""
"SP.DYN.LE60.MA.IN","Life expectancy at age 60, male","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Life expectancy at age 60, male is the average number of years that a male at age 60 would live if prevailing patterns of mortality at the time of age 60 were to stay the same throughout his life.","Annual","","","2022 World Population Prospects, United Nations Population Division: Retrieved August 31, 2023.","Health: Mortality","","","","","","","","","","",""
"SP.DYN.SMAM.FE","Mean age at first marriage, female","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Mean age at marriage, female shows the average length of single life expressed in years among those females who marry before age 50. It is a synthetic indicator calculated from marital status categories of men and women aged 15 to 54 at the census or survey date.","Annual","","","United Nations, Department of Economic and Social Affairs, Population Division. World Marriage Data 2019.","Health: Population: Dynamics","","","","The estimates by age may be affected by age misreporting. Marital status may be misreported, particularly in societies where divorce or separation is not socially acceptable. The differences in marital status categories included over time and their definitions limit comparability of data across time and countries. Data derived from surveys with small samples are subject to sampling error.","Note that the SMAM takes a single point in time and calculates the age at marriage from the marital status of the population aged between 15 and 50. This value is different from the mean age of marriage that is calculated from first marriage rates in a respective period (commonly used in countries with complete marriage registration systems) or cohort measures of entry into first marriage or union (based on retrospective survey questions on age at first marriage or union formation). The retrospective nature of the SMAM means that values are influenced by age and marital status specific mortality and migration.","","","","","",""
"SP.DYN.SMAM.MA","Mean age at first marriage, male","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Mean age at marriage, male shows the average length of single life expressed in years among those males who marry before age 50. It is a synthetic indicator calculated from marital status categories of men and women aged 15 to 54 at the census or survey date.","Annual","","","United Nations, Department of Economic and Social Affairs, Population Division. World Marriage Data.","Health: Population: Dynamics","","","","The estimates by age may be affected by age misreporting. Marital status may be misreported, particularly in societies where divorce or separation is not socially acceptable. The differences in marital status categories included over time and their definitions limit comparability of data across time and countries. Data derived from surveys with small samples are subject to sampling error.","Note that the SMAM takes a single point in time and calculates the age at marriage from the marital status of the population aged between 15 and 50. This value is different from the mean age of marriage that is calculated from first marriage rates in a respective period (commonly used in countries with complete marriage registration systems) or cohort measures of entry into first marriage or union (based on retrospective survey questions on age at first marriage or union formation). The retrospective nature of the SMAM means that values are influenced by age and marital status specific mortality and migration.","","","","","",""
"SP.DYN.TFRT.IN","Fertility rate, total (births per woman)","Weighted average","","Relevance to gender indicator: it can indicate the status of women within households and a woman’s decision about the number and spacing of children.","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Total fertility rate represents the number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with age-specific fertility rates of the specified year.","Annual","","","(1) United Nations Population Division. World Population Prospects: 2022 Revision; (2) Statistical databases and publications from national statistical offices; (3) Eurostat: Demographic Statistics.","Health: Reproductive health","","","Reproductive health is a state of physical and mental well-being in relation to the reproductive system and its functions and processes. Means of achieving reproductive health include education and services during pregnancy and childbirth, safe and effective contraception, and prevention and treatment of sexually transmitted diseases. Complications of pregnancy and childbirth are the leading cause of death and disability among women of reproductive age in developing countries.","","","Total fertility rates are based on data on registered live births from vital registration systems or, in the absence of such systems, from censuses or sample surveys. The estimated rates are generally considered reliable measures of fertility in the recent past. Where no empirical information on age-specific fertility rates is available, a model is used to estimate the share of births to adolescents. For countries without reliable vital registration systems fertility rates are generally based on extrapolations from trends observed in censuses or surveys from earlier years.","","","","",""
